gene
RPL17
RPL22L1
RPL26
RPL28;UBE2S
RPL36A-HNRNPH2
RPS19;RPS19
RPS27L
RPS15A
RPS4X
RPRM
RPL29
RPS10
RPS29
RPS6KA6
RPARP-AS1
RPL36A;RPL36A-HNRNPH2
RPL6
RPL10
RPL10L
RPL34
RPL39L
RPS19BP1
RPA3
RPA4
RPL35A
RPL37
RPL38
RPL13AP6
RPL39
RPSAP52
RPLP1
RPL18
RPL21P44
RP2
RPL23AP82
RPS27
RPS6KA3
RPEL1
RPA2
RPL23A
RPL35
RPL28
RPL26L1
RPL21
RPAP2
RPLP2
RPS10;RPS10-NUDT3
RPS13
RPL7L1
RPRML;CDC27
RPL36
RPGR
RPL10A
RPS15
RPRD1A
RPUSD1
RPL5
RPS3A
RPL11
RPL19
RPS27A
RPSAP9
RPL8
RPL13A
RPL24
RPL15
RPL37A
RPL7A
RPS19
RPUSD3
RPP38-DT
RPL32
RPE65
RPL23
RPS18
RPL31
RPS8
RPS28
RPL36AL
RPL27
RPGRIP1L
RPS7
RPRD2
RPL22
RPS6KA5
RPL18A
RPS25
RPL13AP20
RPL23AP32
RPIA
RPS20
RPL9
RPS6KA4
RPUSD2
RPTN
RPL7
RPL14
RPAP3
RPLP0
RPS14P3
RPS24
RPS6KL1
RPS6KC1
RPLP0P2
RPS6
RPS14
RPL30
RPRD1B
RPS23
RP9
RPS2
RPS26
RPL12
RPL17;RPL17-C18orf32
RPS9
RPH3A
RPE
RPS6KB2
RPL13
RPS6KB1
RPP21;TRIM39-RPP21
RPAIN
RPL3L
RPS21
RPS12
RPS16
RPS5
RPL3
RP1
RPN1
RPL27A
RPN2
RPL4
RPA1
RPUSD4
RPGRIP1
RPAP1
RPS6KA1
RPH3AL
RP1L1
RPS6KA2
RPTOR
ARPC4
CBX3
PQBP1
URB1
BANF1
GTF2I
LAS1L
MED21
RBX1
RPP25
BOP1.00
C1D
CEBPA
FAM98B
SUMO2
CXorf56
FABP5
HNRNPA0
NKRF
PRDX1
S100A16
SUV39H1
TRMT112
CDK1
EIF2S2
FEN1
HNRNPD
RBBP7
RPP14
SUB1
TOP1.00
ZMAT2
PHF6
PPAN
RBM3
NONO
PPM1A
SYNCRIP
